Node,SIR
0,66.574
1,62.621
2,53.16
3,53.65
4,30.659
5,72.127
6,76.136
7,70.534
8,56.293
9,58.768
10,49.121
11,62.04
12,53.491
13,50.41
14,60.925
15,59.116
16,52.525
17,53.567
18,34.552
19,38.365
20,44.176
21,53.649
22,32.88
23,45.615
24,42.358
25,34.33
26,38.073
27,26.892
28,28.335
29,40.72
30,39.144
31,32.325
32,27.45
33,34.942
34,34.951
35,24.554
36,38.471
37,32.157
38,24.709
39,24.462
40,29.894
41,27.663
42,22.483
43,36.836
44,31.746
45,28.252
46,29.772
47,38.306
48,26.219
49,20.659
50,31.871
51,32.713
52,22.289
53,29.108
54,36.645
55,29.827
56,38.854
57,25.346
58,26.015
59,23.332
60,25.077
61,22.334
62,22.915
63,22.819
64,20.688
65,25.484
66,29.223
67,34.194
68,28.142
69,21.976
70,26.228
71,21.598
72,19.292
73,23.093
74,24.078
75,21.067
76,18.247
77,19.929
78,26.198
79,29.817
80,20.602
81,18.943
82,23.258
83,28.38
84,21.674
85,22.31
86,28.327
87,24.445
88,23.98
89,15.3
90,29.071
91,25.131
92,19.053
93,18.435
94,23.865
95,24.572
96,26.819
97,24.312
98,21.574
99,21.306
100,23.948
101,27.625
102,21.245
103,17.815
104,21.558
105,21.758
106,19.581
107,14.733
108,30.691
109,21.912
110,19.007
111,23.228
112,15.828
113,13.463
114,26.373
115,28.738
116,15.352
117,17.775
118,19.359
119,17.77
120,12.474
121,17.203
122,23.432
123,18.787
124,19.366
125,17.96
126,28.227
127,20.016
128,19.614
129,12.197
130,14.587
131,24.473
132,19.807
133,17.523
134,21.343
135,26.303
136,17.651
137,20.776
138,18.017
139,20.151
140,12.572
141,19.431
142,17.469
143,19.955
144,19.877
145,14.541
146,16.221
147,17.928
148,19.572
149,18.602
150,15.927
151,15.042
152,21.747
153,16.071
154,22.397
155,21.193
156,16.077
157,16.338
158,12.972
159,19.383
160,17.067
161,13.759
162,18.079
163,16.874
164,18.548
165,20.174
166,20.847
167,26.209
168,15.303
169,19.42
170,16.192
171,15.325
172,10.479
173,15.906
174,15.527
175,15.85
176,17.354
177,16.242
178,19.314
179,16.539
180,15.109
181,20.331
182,16.644
183,17.485
184,14.444
185,18.445
186,12.16
187,18.292
188,21.134
189,16.386
190,12.39
191,9.464
192,15.581
193,13.198
194,29.979
195,12.989
196,15.869
197,9.827
198,22.492
199,14.396
200,15.459
201,19.413
202,13.02
203,17.448
204,17.655
205,16.371
206,11.687
207,18.999
208,15.647
209,18.639
210,18.849
211,24.867
212,11.053
213,14.04
214,12.16
215,20.288
216,22.196
217,21.497
218,15.626
219,10.089
220,11.182
221,11.771
222,16.357
223,14.997
224,14.054
225,17.21
226,14.392
227,17.625
228,16.822
229,16.706
230,8.926
231,17.13
232,15.099
233,17.595
234,19.768
235,16.578
236,17.12
237,19.964
238,18.133
239,12.66
240,16.857
241,13.193
242,11.317
243,11.549
244,13.006
245,12.936
246,11.844
247,9.989
248,9.128
249,13.159
250,15.145
251,13.613
252,11.455
253,14.674
254,10.585
255,10.251
256,12.127
257,12.337
258,14.982
259,17.464
260,10.733
261,9.154
262,14.76
263,13.885
264,13.11
265,13.777
266,15.537
267,9.048
268,13.301
269,11.676
270,14.367
271,14.67
272,14.463
273,14.815
274,16.296
275,16.674
276,9.539
277,12.561
278,10.506
279,16.589
280,14.282
281,13.486
282,13.5
283,10.35
284,9.541
285,15.357
286,11.498
287,16.716
288,15.485
289,14.111
290,19.73
291,14.217
292,12.479
293,8.234
294,13.015
295,15.706
296,12.701
297,15.693
298,14.39
299,11.442
300,9.965
301,12.933
302,24.917
303,12.968
304,19.789
305,11.624
306,9.847
307,15.713
308,16.302
309,11.161
310,22.1
311,13.603
312,13.469
313,14.164
314,17.571
315,11.129
316,7.437
317,10.334
318,14.795
319,12.14
320,14.953
321,11.621
322,11.329
323,13.574
324,8.199
325,15.261
326,14.577
327,10.733
328,9.107
329,9.722
330,11.902
331,15.503
332,8.634
333,10.823
334,12.762
335,14.279
336,10.803
337,19.137
338,12.848
339,8.303
340,9.722
341,11.597
342,7.745
343,15.86
344,10.2
345,16.052
346,10.718
347,12.272
348,9.501
349,13.456
350,14.944
351,10.042
352,16.027
353,16.104
354,9.301
355,13.736
356,21.27
357,13.078
358,13.4
359,10.727
360,12.174
361,11.972
362,13.201
363,15.926
364,13.58
365,15.042
366,6.57
367,10.384
368,10.985
369,10.918
370,13.245
371,16.773
372,16.542
373,14.913
374,14.314
375,7.907
376,9.738
377,11.623
378,13.012
379,18.221
380,15.326
381,7.838
382,13.685
383,18.308
384,13.305
385,12.635
386,12.04
387,13.766
388,9.514
389,8.32
390,8.953
391,14.823
392,15.934
393,10.852
394,18.192
395,7.164
396,11.139
397,8.968
398,12.01
399,12.897
400,10.747
401,11.844
402,9.009
403,8.218
404,10.339
405,11.15
406,13.86
407,10.378
408,17.829
409,15.863
410,7.995
411,12.433
412,13.016
413,8.872
414,16.219
415,12.27
416,14.628
417,11.232
418,9.72
419,10.549
420,6.615
421,9.813
422,9.666
423,9.094
424,16.327
425,8.929
426,15.395
427,11.003
428,10.727
429,11.296
430,13.192
431,9.525
432,13.21
433,7.218
434,7.895
435,15.673
436,8.319
437,15.078
438,9.885
439,7.154
440,11.768
441,17.776
442,12.925
443,11.197
444,14.371
445,15.015
446,8.244
447,15.4
448,11.472
449,12.476
450,10.362
451,13.965
452,8.045
453,17.188
454,8.134
455,10.999
456,14.803
457,6.883
458,14.304
459,8.067
460,9.049
461,13.898
462,9.69
463,8.399
464,14.107
465,12.771
466,15.335
467,11.213
468,10.092
469,15.338
470,14.402
471,8.627
472,10.167
473,14.232
474,6.136
475,14.89
476,10.554
477,7.963
478,6.986
479,9.603
480,12.373
481,12.063
482,9.62
483,13.45
484,9.576
485,7.155
486,9.372
487,13.601
488,10.863
489,9.298
490,12.6
491,10.159
492,11.221
493,9.189
494,14.849
495,5.744
496,10.683
497,9.54
498,11.284
499,10.969
500,9.732
501,10.112
502,7.935
503,8.831
504,9.416
505,13.986
506,14.386
507,17.018
508,7.053
509,11.273
510,8.406
511,19.409
512,8.568
513,8.598
514,16.12
515,9.825
516,9.424
517,10.113
518,10.622
519,10.446
520,12.701
521,11.431
522,8.504
523,12.071
524,6.985
525,13.264
526,6.749
527,6.576
528,9.592
529,8.431
530,14.439
531,8.186
532,10.065
533,12.992
534,10.895
535,13.993
536,13.302
537,14.153
538,7.333
539,12.331
540,11.391
541,9.733
542,7.847
543,7.452
544,10.216
545,5.962
546,12.748
547,9.989
548,7.193
549,7.982
550,18.788
551,8.241
552,7.48
553,9.15
554,8.922
555,10.322
556,8.102
557,9.907
558,10.742
559,8.354
560,6.134
561,11.752
562,10.602
563,10.37
564,13.859
565,11.117
566,13.091
